temp,atemp,humidity,windspeed,year,season,month,weekday,hour,workingday,holiday,weather,casual,registered,tot
16.4,20.455,76.0,12.998,2011,1,1,6,7,0,0,2,0,1,1
16.4,20.455,71.0,15.0013,2011,1,1,6,8,0,0,3,0,8,8
15.58,19.695,76.0,15.0013,2011,1,1,6,9,0,0,2,1,19,20
14.76,17.425,81.0,15.0013,2011,1,1,6,10,0,0,2,7,46,53
14.76,16.665,71.0,16.9979,2011,1,1,6,11,0,0,2,16,54,70
14.76,16.665,66.0,19.9995,2011,1,1,6,12,0,0,2,20,73,93
14.76,17.425,66.0,8.9981,2011,1,1,6,13,0,0,2,11,64,75
14.76,17.425,76.0,12.998,2011,1,1,6,14,0,0,3,4,55,59
13.94,16.665,81.0,11.0014,2011,1,1,6,15,0,0,3,19,55,74
13.94,16.665,71.0,11.0014,2011,1,1,6,16,0,0,3,9,67,76
13.94,16.665,57.0,12.998,2011,1,1,6,17,0,0,1,7,58,65
14.76,16.665,46.0,22.0028,2011,1,1,6,18,0,0,2,10,43,53
13.12,14.395,42.0,30.0026,2011,1,1,6,19,0,0,1,1,29,30
12.3,13.635,39.0,23.9994,2011,1,1,6,20,0,0,1,5,17,22
10.66,11.365,44.0,22.0028,2011,1,1,6,21,0,0,1,11,20,31
9.84,10.605,44.0,19.9995,2011,1,1,6,22,0,0,1,0,9,9
9.02,11.365,47.0,11.0014,2011,1,1,6,23,0,0,1,0,8,8
9.02,9.85,44.0,23.9994,2011,1,1,0,0,1,0,1,0,5,5
8.2,8.335,44.0,27.9993,2011,1,1,0,1,1,0,1,0,2,2
6.56,6.82,47.0,26.0027,2011,1,1,0,4,1,0,1,0,1,1
6.56,6.82,47.0,19.0012,2011,1,1,0,5,1,0,1,0,3,3
5.74,5.305,50.0,26.0027,2011,1,1,0,6,1,0,1,0,30,30
5.74,6.82,50.0,12.998,2011,1,1,0,7,1,0,1,1,63,64
5.74,6.06,50.0,19.0012,2011,1,1,0,8,1,0,1,1,153,154
6.56,6.82,43.0,26.0027,2011,1,1,0,9,1,0,1,7,81,88
7.38,8.335,43.0,16.9979,2011,1,1,0,10,1,0,1,11,33,44
8.2,9.09,40.0,22.0028,2011,1,1,0,11,1,0,1,10,41,51
9.02,10.605,35.0,19.9995,2011,1,1,0,12,1,0,1,13,48,61
9.84,10.605,35.0,19.0012,2011,1,1,0,13,1,0,1,8,53,61
10.66,12.12,30.0,19.0012,2011,1,1,0,14,1,0,1,11,66,77
10.66,12.12,30.0,16.9979,2011,1,1,0,15,1,0,1,14,58,72
10.66,12.12,30.0,16.9979,2011,1,1,0,16,1,0,1,9,67,76
9.84,11.365,30.0,15.0013,2011,1,1,0,17,1,0,1,11,146,157
9.84,12.88,32.0,7.0015,2011,1,1,0,18,1,0,1,9,148,157
8.2,12.88,47.0,0.0,2011,1,1,0,19,1,0,1,8,102,110
8.2,11.365,47.0,7.0015,2011,1,1,0,20,1,0,1,3,49,52
7.38,9.85,64.0,8.9981,2011,1,1,0,21,1,0,1,3,49,52
5.74,7.575,69.0,8.9981,2011,1,1,0,22,1,0,1,0,20,20
7.38,10.605,55.0,7.0015,2011,1,1,0,23,1,0,1,1,11,12
6.56,9.09,55.0,7.0015,2011,1,1,1,0,1,0,1,0,5,5
6.56,9.09,59.0,7.0015,2011,1,1,1,1,1,0,1,0,2,2
5.74,7.575,63.0,8.9981,2011,1,1,1,2,1,0,1,0,1,1
5.74,9.09,63.0,6.0032,2011,1,1,1,4,1,0,1,0,2,2
4.92,7.575,68.0,7.0015,2011,1,1,1,5,1,0,1,0,4,4
4.92,7.575,74.0,7.0015,2011,1,1,1,6,1,0,1,0,36,36
4.92,7.575,74.0,8.9981,2011,1,1,1,7,1,0,1,2,92,94
5.74,7.575,69.0,11.0014,2011,1,1,1,8,1,0,1,2,177,179
6.56,7.575,64.0,15.0013,2011,1,1,1,9,1,0,1,2,98,100
6.56,6.82,69.0,22.0028,2011,1,1,1,10,1,0,2,5,37,42
9.02,10.605,51.0,19.9995,2011,1,1,1,11,1,0,1,7,50,57
9.02,11.365,51.0,11.0014,2011,1,1,1,12,1,0,1,12,66,78
9.84,11.365,56.0,12.998,2011,1,1,1,13,1,0,1,18,79,97
10.66,12.88,52.0,15.0013,2011,1,1,1,14,1,0,1,9,54,63
11.48,13.635,52.0,16.9979,2011,1,1,1,15,1,0,1,17,48,65
12.3,14.395,49.0,16.9979,2011,1,1,1,16,1,0,1,15,68,83
11.48,13.635,48.0,15.0013,2011,1,1,1,17,1,0,1,10,202,212
10.66,12.88,48.0,12.998,2011,1,1,1,18,1,0,1,3,179,182
9.84,12.88,48.0,7.0015,2011,1,1,1,19,1,0,1,2,110,112
9.84,12.88,48.0,7.0015,2011,1,1,1,20,1,0,1,1,53,54
9.02,13.635,64.0,0.0,2011,1,1,1,21,1,0,1,0,48,48
9.02,12.88,64.0,6.0032,2011,1,1,1,22,1,0,1,1,34,35
8.2,11.365,69.0,6.0032,2011,1,1,1,23,1,0,1,2,9,11
8.2,12.88,64.0,0.0,2011,1,1,2,0,1,0,1,0,6,6
6.56,9.85,74.0,6.0032,2011,1,1,2,1,1,0,1,0,6,6
6.56,9.85,74.0,6.0032,2011,1,1,2,2,1,0,1,0,2,2
9.84,11.365,48.0,15.0013,2011,1,1,2,4,1,0,1,0,2,2
9.02,11.365,47.0,11.0014,2011,1,1,2,5,1,0,1,0,3,3
8.2,9.85,47.0,15.0013,2011,1,1,2,6,1,0,1,0,33,33
7.38,9.09,43.0,12.998,2011,1,1,2,7,1,0,1,1,87,88
8.2,9.09,40.0,19.9995,2011,1,1,2,8,1,0,1,3,192,195
9.02,9.85,37.0,22.0028,2011,1,1,2,9,1,0,1,6,109,115
9.02,9.85,37.0,22.0028,2011,1,1,2,10,1,0,1,4,53,57
10.66,11.365,33.0,22.0028,2011,1,1,2,11,1,0,1,12,34,46
10.66,11.365,33.0,22.0028,2011,1,1,2,12,1,0,1,5,74,79
11.48,12.88,30.0,19.9995,2011,1,1,2,13,1,0,1,6,65,71
12.3,14.395,28.0,12.998,2011,1,1,2,14,1,0,1,10,52,62
12.3,14.395,28.0,12.998,2011,1,1,2,15,1,0,1,7,55,62
12.3,15.91,28.0,6.0032,2011,1,1,2,16,1,0,1,4,85,89
9.84,11.365,38.0,12.998,2011,1,1,2,17,1,0,1,4,186,190
9.84,12.12,38.0,8.9981,2011,1,1,2,18,1,0,1,3,166,169
9.84,12.88,38.0,7.0015,2011,1,1,2,19,1,0,1,5,127,132
9.02,11.365,47.0,11.0014,2011,1,1,2,20,1,0,1,7,82,89
8.2,9.85,51.0,12.998,2011,1,1,2,21,1,0,1,3,40,43
7.38,9.85,55.0,8.9981,2011,1,1,2,22,1,0,1,1,41,42
8.2,12.88,47.0,0.0,2011,1,1,2,23,1,0,1,1,18,19
7.38,12.12,55.0,0.0,2011,1,1,3,0,1,0,1,0,11,11
6.56,11.365,64.0,0.0,2011,1,1,3,1,1,0,1,0,4,4
6.56,11.365,64.0,0.0,2011,1,1,3,2,1,0,1,0,2,2
6.56,9.85,64.0,6.0032,2011,1,1,3,4,1,0,2,0,1,1
5.74,9.09,69.0,6.0032,2011,1,1,3,5,1,0,2,0,4,4
5.74,8.335,63.0,7.0015,2011,1,1,3,6,1,0,2,0,36,36
6.56,11.365,59.0,0.0,2011,1,1,3,7,1,0,2,0,95,95
6.56,11.365,59.0,0.0,2011,1,1,3,8,1,0,1,3,216,219
7.38,12.12,51.0,0.0,2011,1,1,3,9,1,0,2,6,116,122
8.2,12.88,47.0,0.0,2011,1,1,3,10,1,0,1,3,42,45
9.02,12.88,44.0,6.0032,2011,1,1,3,11,1,0,1,2,57,59
10.66,14.395,35.0,0.0,2011,1,1,3,12,1,0,1,6,78,84
10.66,13.635,35.0,7.0015,2011,1,1,3,13,1,0,1,12,55,67
11.48,13.635,36.0,11.0014,2011,1,1,3,14,1,0,1,11,59,70
11.48,13.635,36.0,0.0,2011,1,1,3,15,1,0,1,8,54,62
10.66,12.88,38.0,11.0014,2011,1,1,3,16,1,0,1,12,74,86
9.02,11.365,51.0,11.0014,2011,1,1,3,17,1,0,1,9,163,172
9.02,11.365,51.0,8.9981,2011,1,1,3,18,1,0,1,5,158,163
9.02,12.88,55.0,6.0032,2011,1,1,3,19,1,0,1,3,109,112
8.2,10.605,51.0,11.0014,2011,1,1,3,20,1,0,1,3,66,69
9.02,10.605,55.0,15.0013,2011,1,1,3,21,1,0,2,0,48,48
9.02,10.605,51.0,19.0012,2011,1,1,3,22,1,0,2,1,51,52
8.2,9.85,59.0,12.998,2011,1,1,3,23,1,0,2,4,19,23
8.2,9.85,64.0,12.998,2011,1,1,4,0,1,0,2,4,13,17
8.2,9.85,69.0,15.0013,2011,1,1,4,1,1,0,2,2,5,7
8.2,9.85,69.0,15.0013,2011,1,1,4,2,1,0,2,0,1,1
8.2,10.605,69.0,8.9981,2011,1,1,4,4,1,0,2,0,1,1
9.02,13.635,55.0,0.0,2011,1,1,4,5,1,0,3,0,5,5
8.2,12.88,69.0,0.0,2011,1,1,4,6,1,0,2,8,26,34
8.2,10.605,69.0,8.9981,2011,1,1,4,7,1,0,1,8,76,84
8.2,9.85,51.0,16.9979,2011,1,1,4,8,1,0,1,20,190,210
8.2,9.09,47.0,19.9995,2011,1,1,4,9,1,0,1,9,125,134
9.02,9.85,37.0,22.0028,2011,1,1,4,10,1,0,1,16,47,63
8.2,9.85,40.0,15.0013,2011,1,1,4,11,1,0,2,19,48,67
8.2,9.85,37.0,16.9979,2011,1,1,4,12,1,0,2,9,50,59
8.2,9.09,37.0,19.0012,2011,1,1,4,13,1,0,2,9,64,73
8.2,9.85,40.0,16.9979,2011,1,1,4,14,1,0,2,7,43,50
8.2,10.605,37.0,11.0014,2011,1,1,4,15,1,0,2,9,63,72
8.2,10.605,37.0,11.0014,2011,1,1,4,16,1,0,2,5,82,87
8.2,12.88,37.0,0.0,2011,1,1,4,17,1,0,2,9,178,187
8.2,11.365,40.0,6.0032,2011,1,1,4,18,1,0,1,7,116,123
6.56,9.85,55.0,6.0032,2011,1,1,4,19,1,0,1,3,92,95
7.38,10.605,47.0,7.0015,2011,1,1,4,20,1,0,1,1,50,51
7.38,9.85,47.0,8.9981,2011,1,1,4,21,1,0,1,0,39,39
7.38,9.85,43.0,11.0014,2011,1,1,4,22,1,0,2,2,34,36
7.38,9.85,51.0,11.0014,2011,1,1,4,23,1,0,2,1,14,15
7.38,9.85,51.0,11.0014,2011,1,1,5,0,0,0,2,1,24,25
7.38,10.605,55.0,6.0032,2011,1,1,5,1,0,0,2,1,15,16
7.38,12.12,55.0,0.0,2011,1,1,5,2,0,0,2,3,13,16
7.38,9.85,55.0,11.0014,2011,1,1,5,3,0,0,3,0,7,7
7.38,9.85,55.0,11.0014,2011,1,1,5,4,0,0,3,0,1,1
6.56,8.335,74.0,11.0014,2011,1,1,5,5,0,0,2,0,5,5
6.56,8.335,74.0,11.0014,2011,1,1,5,6,0,0,2,0,2,2
6.56,9.09,74.0,7.0015,2011,1,1,5,7,0,0,2,1,8,9
6.56,9.09,93.0,7.0015,2011,1,1,5,8,0,0,3,0,15,15
6.56,9.09,93.0,7.0015,2011,1,1,5,9,0,0,3,0,20,20
7.38,9.85,80.0,11.0014,2011,1,1,5,10,0,0,2,5,56,61
8.2,9.09,69.0,26.0027,2011,1,1,5,11,0,0,2,2,60,62
8.2,9.09,59.0,23.9994,2011,1,1,5,12,0,0,2,8,90,98
8.2,9.09,44.0,22.0028,2011,1,1,5,13,0,0,1,7,95,102
8.2,8.335,32.0,32.9975,2011,1,1,5,14,0,0,1,12,83,95
8.2,8.335,32.0,30.0026,2011,1,1,5,15,0,0,1,5,69,74
7.38,6.82,29.0,30.0026,2011,1,1,5,16,0,0,1,8,68,76
6.56,6.06,37.0,36.9974,2011,1,1,5,17,0,0,1,5,64,69
5.74,6.06,39.0,19.9995,2011,1,1,5,18,0,0,1,3,52,55
5.74,6.06,36.0,16.9979,2011,1,1,5,19,0,0,1,4,26,30
4.92,6.06,36.0,16.9979,2011,1,1,5,20,0,0,1,0,28,28
4.92,5.305,39.0,23.9994,2011,1,1,5,21,0,0,1,2,35,37
4.92,5.305,36.0,26.0027,2011,1,1,5,22,0,0,1,1,33,34
4.1,3.03,39.0,30.0026,2011,1,1,5,23,0,0,1,0,22,22
4.1,3.79,42.0,26.0027,2011,1,1,6,0,0,0,1,1,24,25
4.1,3.03,42.0,31.0009,2011,1,1,6,1,0,0,1,0,12,12
4.1,3.03,46.0,31.0009,2011,1,1,6,2,0,0,1,0,11,11
4.1,3.79,46.0,27.9993,2011,1,1,6,3,0,0,1,0,4,4
3.28,4.545,53.0,12.998,2011,1,1,6,4,0,0,1,0,1,1
3.28,4.545,53.0,12.998,2011,1,1,6,5,0,0,1,0,1,1
4.1,4.545,49.0,19.0012,2011,1,1,6,6,0,0,1,0,1,1
3.28,4.545,53.0,12.998,2011,1,1,6,7,0,0,1,1,5,6
4.1,4.545,49.0,19.0012,2011,1,1,6,8,0,0,1,0,10,10
4.92,3.79,46.0,35.0008,2011,1,1,6,9,0,0,1,0,19,19
5.74,5.305,43.0,26.0027,2011,1,1,6,10,0,0,1,0,49,49
6.56,6.06,40.0,35.0008,2011,1,1,6,11,0,0,1,2,47,49
7.38,6.82,37.0,30.0026,2011,1,1,6,12,0,0,1,4,79,83
8.2,8.335,34.0,30.0026,2011,1,1,6,13,0,0,1,6,69,75
9.02,9.09,32.0,31.0009,2011,1,1,6,14,0,0,1,8,64,72
9.02,9.85,35.0,23.9994,2011,1,1,6,15,0,0,1,5,77,82
8.2,8.335,34.0,30.0026,2011,1,1,6,16,0,0,1,13,79,92
7.38,7.575,37.0,26.0027,2011,1,1,6,17,0,0,1,3,59,62
6.56,6.82,40.0,22.0028,2011,1,1,6,18,0,0,1,4,44,48
6.56,6.82,43.0,22.0028,2011,1,1,6,19,0,0,1,1,40,41
5.74,6.06,46.0,16.9979,2011,1,1,6,20,0,0,1,0,38,38
5.74,5.305,46.0,27.9993,2011,1,1,6,21,0,0,1,1,19,20
5.74,6.06,46.0,19.9995,2011,1,1,6,22,0,0,1,5,10,15
4.92,6.82,50.0,12.998,2011,1,1,6,23,0,0,1,0,6,6
4.92,6.06,50.0,19.0012,2011,1,1,0,0,1,0,1,2,3,5
4.92,6.06,50.0,19.0012,2011,1,1,0,1,1,0,1,1,0,1
4.92,6.06,50.0,15.0013,2011,1,1,0,2,1,0,1,0,3,3
4.92,6.06,50.0,15.0013,2011,1,1,0,3,1,0,1,0,1,1
4.1,6.06,54.0,8.9981,2011,1,1,0,4,1,0,1,1,2,3
4.1,5.305,54.0,16.9979,2011,1,1,0,5,1,0,1,0,3,3
4.92,6.06,50.0,19.0012,2011,1,1,0,6,1,0,1,0,31,31
4.92,6.06,50.0,15.0013,2011,1,1,0,7,1,0,1,2,75,77
4.92,6.06,50.0,19.0012,2011,1,1,0,8,1,0,2,4,184,188
5.74,6.06,50.0,16.9979,2011,1,1,0,9,1,0,2,2,92,94
5.74,6.06,50.0,19.9995,2011,1,1,0,10,1,0,2,0,31,31
6.56,6.82,47.0,19.0012,2011,1,1,0,11,1,0,2,2,28,30
8.2,9.09,40.0,19.0012,2011,1,1,0,12,1,0,2,5,47,52
8.2,9.09,40.0,19.0012,2011,1,1,0,13,1,0,2,4,50,54
8.2,9.85,40.0,15.0013,2011,1,1,0,14,1,0,2,0,47,47
8.2,9.85,40.0,15.0013,2011,1,1,0,15,1,0,2,2,43,45
8.2,10.605,40.0,8.9981,2011,1,1,0,16,1,0,1,4,70,74
8.2,11.365,40.0,7.0015,2011,1,1,0,17,1,0,1,4,174,178
8.2,9.85,40.0,15.0013,2011,1,1,0,18,1,0,1,1,154,155
6.56,8.335,47.0,11.0014,2011,1,1,0,19,1,0,1,3,92,95
6.56,8.335,50.0,11.0014,2011,1,1,0,20,1,0,1,1,73,74
5.74,6.82,59.0,12.998,2011,1,1,0,21,1,0,1,1,37,38
5.74,7.575,59.0,11.0014,2011,1,1,0,22,1,0,1,2,22,24
5.74,7.575,59.0,11.0014,2011,1,1,0,23,1,0,1,0,18,18
5.74,8.335,59.0,7.0015,2011,1,1,1,0,1,0,1,2,10,12
5.74,7.575,59.0,11.0014,2011,1,1,1,1,1,0,1,0,3,3
6.56,7.575,55.0,12.998,2011,1,1,1,2,1,0,2,0,3,3
6.56,9.09,55.0,8.9981,2011,1,1,1,5,1,0,2,0,6,6
6.56,9.09,55.0,8.9981,2011,1,1,1,6,1,0,2,0,27,27
6.56,11.365,55.0,0.0,2011,1,1,1,7,1,0,2,2,97,99
7.38,10.605,51.0,6.0032,2011,1,1,1,8,1,0,2,3,214,217
7.38,9.85,51.0,11.0014,2011,1,1,1,9,1,0,2,3,127,130
8.2,10.605,51.0,11.0014,2011,1,1,1,10,1,0,2,3,51,54
8.2,10.605,47.0,8.9981,2011,1,1,1,11,1,0,2,4,31,35
8.2,11.365,51.0,7.0015,2011,1,1,1,12,1,0,2,2,55,57
8.2,11.365,59.0,6.0032,2011,1,1,1,13,1,0,2,6,46,52
8.2,11.365,59.0,6.0032,2011,1,1,1,14,1,0,2,3,60,63
6.56,9.85,80.0,6.0032,2011,1,1,1,15,1,0,2,2,45,47
6.56,7.575,86.0,15.0013,2011,1,1,1,16,1,0,2,4,72,76
6.56,7.575,86.0,15.0013,2011,1,1,1,17,1,0,2,6,130,136
6.56,9.09,93.0,7.0015,2011,1,1,1,18,1,0,3,1,94,95
6.56,11.365,93.0,0.0,2011,1,1,1,19,1,0,3,0,51,51
6.56,7.575,93.0,12.998,2011,1,1,1,20,1,0,3,0,32,32
6.56,9.85,86.0,6.0032,2011,1,1,1,21,1,0,3,0,20,20
6.56,9.09,93.0,7.0015,2011,1,1,1,22,1,0,3,1,28,29
6.56,9.85,93.0,6.0032,2011,1,1,1,23,1,0,3,1,18,19
6.56,9.85,86.0,6.0032,2011,1,1,2,0,1,0,2,0,7,7
6.56,9.09,86.0,7.0015,2011,1,1,2,1,1,0,2,0,6,6
5.74,7.575,86.0,8.9981,2011,1,1,2,2,1,0,1,0,1,1
5.74,7.575,86.0,11.0014,2011,1,1,2,5,1,0,1,0,5,5
4.92,7.575,93.0,8.9981,2011,1,1,2,6,1,0,1,0,16,16
5.74,7.575,69.0,8.9981,2011,1,1,2,7,1,0,1,0,54,54
6.56,8.335,59.0,11.0014,2011,1,1,2,8,1,0,1,3,125,128
6.56,6.82,59.0,22.0028,2011,1,1,2,9,1,0,1,3,78,81
7.38,9.09,55.0,15.0013,2011,1,1,2,10,1,0,1,0,39,39
8.2,9.09,51.0,26.0027,2011,1,1,2,11,1,0,1,3,32,35
8.2,7.575,47.0,39.0007,2011,1,1,2,12,1,0,1,3,52,55
9.02,9.85,44.0,23.9994,2011,1,1,2,13,1,0,1,0,49,49
8.2,9.09,47.0,22.0028,2011,1,1,2,14,1,0,1,0,44,44
8.2,8.335,47.0,27.9993,2011,1,1,2,15,1,0,1,1,48,49
9.02,9.85,44.0,22.0028,2011,1,1,2,16,1,0,1,5,63,68
8.2,9.09,47.0,23.9994,2011,1,1,2,17,1,0,1,0,139,139
8.2,7.575,47.0,35.0008,2011,1,1,2,18,1,0,1,2,135,137
7.38,7.575,47.0,27.9993,2011,1,1,2,19,1,0,1,1,82,83
6.56,6.82,50.0,22.0028,2011,1,1,2,20,1,0,1,2,54,56
6.56,6.82,55.0,22.0028,2011,1,1,2,21,1,0,1,0,57,57
6.56,6.06,55.0,30.0026,2011,1,1,2,22,1,0,1,1,32,33
5.74,5.305,59.0,27.9993,2011,1,1,2,23,1,0,1,1,19,20
5.74,6.06,59.0,19.0012,2011,1,1,3,0,1,0,1,1,6,7
5.74,6.06,50.0,19.0012,2011,1,1,3,1,1,0,1,0,2,2
5.74,6.06,50.0,23.9994,2011,1,1,3,2,1,0,1,0,2,2
5.74,6.06,50.0,22.0028,2011,1,1,3,3,1,0,1,0,3,3
5.74,6.06,50.0,16.9979,2011,1,1,3,4,1,0,1,0,4,4
5.74,6.06,50.0,19.9995,2011,1,1,3,5,1,0,1,0,3,3
4.92,7.575,54.0,8.9981,2011,1,1,3,6,1,0,1,0,28,28
4.92,7.575,54.0,8.9981,2011,1,1,3,7,1,0,1,0,72,72
5.74,6.82,50.0,12.998,2011,1,1,3,8,1,0,1,5,197,202
5.74,6.06,50.0,22.0028,2011,1,1,3,9,1,0,1,2,137,139
6.56,6.82,50.0,23.9994,2011,1,1,3,10,1,0,2,2,36,38
8.2,8.335,44.0,30.0026,2011,1,1,3,11,1,0,2,4,33,37
8.2,8.335,44.0,27.9993,2011,1,1,3,12,1,0,1,3,49,52
9.02,9.85,41.0,30.0026,2011,1,1,3,13,1,0,1,2,81,83
9.02,9.85,41.0,26.0027,2011,1,1,3,14,1,0,1,3,39,42
9.84,10.605,38.0,19.9995,2011,1,1,3,15,1,0,1,5,55,60
9.84,10.605,38.0,23.9994,2011,1,1,3,16,1,0,1,2,76,78
8.2,9.09,40.0,19.0012,2011,1,1,3,17,1,0,1,4,158,162
8.2,9.09,40.0,22.0028,2011,1,1,3,18,1,0,1,3,141,144
6.56,7.575,47.0,16.9979,2011,1,1,3,19,1,0,1,1,98,99
6.56,7.575,47.0,15.0013,2011,1,1,3,20,1,0,1,0,64,64
5.74,6.06,46.0,19.9995,2011,1,1,3,21,1,0,1,0,40,40
5.74,6.06,46.0,22.0028,2011,1,1,3,22,1,0,1,0,30,30
4.92,6.82,50.0,12.998,2011,1,1,3,23,1,0,1,1,14,15
4.92,6.82,50.0,12.998,2011,1,1,4,0,1,0,1,0,14,14
4.1,6.06,54.0,11.0014,2011,1,1,4,1,1,0,1,0,5,5
4.1,6.06,54.0,8.9981,2011,1,1,4,2,1,0,1,0,1,1
4.1,6.82,54.0,7.0015,2011,1,1,4,3,1,0,1,0,1,1
4.1,6.82,54.0,6.0032,2011,1,1,4,5,1,0,1,0,8,8
4.1,9.09,54.0,0.0,2011,1,1,4,6,1,0,1,0,17,17
4.1,6.06,74.0,11.0014,2011,1,1,4,7,1,0,1,0,70,70
4.92,8.335,68.0,0.0,2011,1,1,4,8,1,0,1,2,156,158
5.74,7.575,69.0,8.9981,2011,1,1,4,9,1,0,1,0,117,117
7.38,9.09,55.0,12.998,2011,1,1,4,10,1,0,1,4,40,44
7.38,8.335,51.0,19.0012,2011,1,1,4,11,1,0,1,6,47,53
8.2,9.85,44.0,16.9979,2011,1,1,4,12,1,0,1,2,59,61
9.02,9.85,37.0,26.0027,2011,1,1,4,13,1,0,1,4,73,77
9.02,10.605,41.0,19.0012,2011,1,1,4,14,1,0,1,5,59,64
9.84,12.12,38.0,11.0014,2011,1,1,4,15,1,0,1,9,59,68
9.02,12.12,41.0,7.0015,2011,1,1,4,16,1,0,1,3,87,90
9.02,11.365,41.0,11.0014,2011,1,1,4,17,1,0,1,4,155,159
8.2,12.88,47.0,0.0,2011,1,1,4,18,1,0,1,5,134,139
6.56,9.85,59.0,6.0032,2011,1,1,4,19,1,0,1,3,89,92
7.38,12.12,59.0,0.0,2011,1,1,4,20,1,0,1,0,68,68
6.56,11.365,69.0,0.0,2011,1,1,4,21,1,0,1,4,48,52
6.56,11.365,69.0,0.0,2011,1,1,4,22,1,0,2,2,34,36
7.38,12.12,55.0,0.0,2011,1,1,4,23,1,0,2,1,26,27
7.38,12.12,55.0,0.0,2011,1,1,5,0,0,0,1,3,25,28
6.56,9.85,59.0,6.0032,2011,1,1,5,1,0,0,2,2,18,20
6.56,9.85,59.0,6.0032,2011,1,1,5,2,0,0,2,0,12,12
6.56,11.365,59.0,0.0,2011,1,1,5,3,0,0,2,1,7,8
6.56,11.365,59.0,0.0,2011,1,1,5,4,0,0,2,0,5,5
6.56,11.365,59.0,0.0,2011,1,1,5,5,0,0,1,0,1,1
5.74,8.335,63.0,7.0015,2011,1,1,5,6,0,0,1,1,2,3
5.74,10.605,63.0,0.0,2011,1,1,5,7,0,0,1,1,9,10
5.74,7.575,63.0,8.9981,2011,1,1,5,8,0,0,1,1,22,23
6.56,9.09,64.0,8.9981,2011,1,1,5,9,0,0,1,2,31,33
7.38,9.85,59.0,11.0014,2011,1,1,5,10,0,0,1,2,57,59
8.2,9.85,55.0,15.0013,2011,1,1,5,11,0,0,1,18,54,72
9.84,11.365,48.0,15.0013,2011,1,1,5,12,0,0,1,15,74,89
11.48,12.88,38.0,19.9995,2011,1,1,5,13,0,0,1,21,80,101
12.3,14.395,39.0,19.0012,2011,1,1,5,14,0,0,1,26,92,118
13.12,15.91,36.0,12.998,2011,1,1,5,15,0,0,2,21,108,129
13.94,16.665,34.0,12.998,2011,1,1,5,16,0,0,2,33,95,128
13.12,15.15,36.0,19.0012,2011,1,1,5,17,0,0,2,29,54,83
12.3,14.395,45.0,16.9979,2011,1,1,5,18,0,0,2,15,69,84
13.12,15.15,39.0,16.9979,2011,1,1,5,19,0,0,2,14,60,74
13.12,15.15,39.0,16.9979,2011,1,1,5,20,0,0,2,6,35,41
13.12,15.15,39.0,15.0013,2011,1,1,5,21,0,0,2,6,51,57
12.3,15.91,42.0,7.0015,2011,1,1,5,22,0,0,2,0,26,26
12.3,14.395,45.0,19.0012,2011,1,1,5,23,0,0,1,5,39,44
10.66,15.15,56.0,0.0,2011,1,1,6,0,0,0,1,6,33,39
